experiment,scheme,traffic_pattern,run_id,flow_id,received_bytes,start_time_s,completion_time_s,fct_s,completed
v2-main-static-ocs,static-ocs,community-local,1,90,50000,0.046,0.046549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,92,50000,0.047,0.047549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,93,50000,0.0475,0.048049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,94,50000,0.048,0.048549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,96,50000,0.049,0.049549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,97,50000,0.0495,0.050049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,98,50000,0.05,0.050549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,100,50000,0.051,0.051549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,101,50000,0.0515,0.052049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,102,50000,0.052,0.052549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,104,50000,0.053,0.053549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,105,50000,0.0535,0.054049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,106,50000,0.054,0.054549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,108,50000,0.055,0.055549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,109,50000,0.0555,0.056049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,110,50000,0.056,0.056549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,112,50000,0.057,0.057549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,113,50000,0.0575,0.058049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,114,50000,0.058,0.058549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,116,50000,0.059,0.059549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,117,50000,0.0595,0.060049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,118,50000,0.06,0.060549061,0.000549061,true
