trafficModel,strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
pipeline,v8,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,6,501760000,501760,224,224,0,1,true,smtra-direct:192|smtra-two-hop:32,192,32,0,1.14286,2,224,224,0,1,true,0.000283698,0.08192,0.000294943,results/smtra/pilot-new-defaults/pipeline__v8__load-0.2__seed-1.log,false,
pipeline,v8,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,7,2007040000,2007040,224,224,0,1,true,smtra-direct:192|smtra-two-hop:32,192,32,0,1.14286,2,224,224,0,1,true,0.000474173,0.32768,0.00106911,results/smtra/pilot-new-defaults/pipeline__v8__load-0.8__seed-1.log,false,
tensor-community,e-only,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,2,501760000,501760,128,128,0,1,true,inter-pod-electrical:128,128,0,0,1,1,128,128,0,1,true,0.00038013,0.08192,0.000337373,results/smtra/pilot-new-defaults/tensor-community__e-only__load-0.2__seed-1.log,false,
tensor-community,e-only,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,3,2007040000,2007040,128,128,0,1,true,inter-pod-electrical:128,128,0,0,1,1,128,128,0,1,true,0.00087227,0.32768,0.00127186,results/smtra/pilot-new-defaults/tensor-community__e-only__load-0.8__seed-1.log,false,
tensor-community,static-ocs,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,6,501760000,501760,128,128,0,1,true,ocs-shortest-direct:32|ocs-shortest-multihop:96,32,64,32,2,3,128,128,0,1,true,0.000365964,0.08192,0.000389552,results/smtra/pilot-new-defaults/tensor-community__static-ocs__load-0.2__seed-1.log,false,
tensor-community,static-ocs,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,8,2007040000,2007040,128,128,0,1,true,ocs-shortest-direct:32|ocs-shortest-multihop:96,32,64,32,2,3,128,128,0,1,true,0.000809485,0.32768,0.00148252,results/smtra/pilot-new-defaults/tensor-community__static-ocs__load-0.8__seed-1.log,false,
tensor-community,traffic-greedy,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,6,501760000,501760,128,128,0,1,true,ocs-shortest-direct:128,128,0,0,1,1,128,128,0,1,true,0.000272164,0.08192,0.000260806,results/smtra/pilot-new-defaults/tensor-community__traffic-greedy__load-0.2__seed-1.log,false,
tensor-community,traffic-greedy,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,6,2007040000,2007040,128,128,0,1,true,ocs-shortest-direct:128,128,0,0,1,1,128,128,0,1,true,0.000619172,0.32768,0.000984802,results/smtra/pilot-new-defaults/tensor-community__traffic-greedy__load-0.8__seed-1.log,false,
tensor-community,v8,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,7,501760000,501760,128,128,0,1,true,smtra-direct:128,128,0,0,1,1,128,128,0,1,true,0.000272164,0.08192,0.000264819,results/smtra/pilot-new-defaults/tensor-community__v8__load-0.2__seed-1.log,false,
tensor-community,v8,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,7,2007040000,2007040,128,128,0,1,true,smtra-direct:128,128,0,0,1,1,128,128,0,1,true,0.000619172,0.32768,0.000999953,results/smtra/pilot-new-defaults/tensor-community__v8__load-0.8__seed-1.log,false,
