trafficModel,strategy,offeredLoad,workloadScale,messageSizeBytes,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
pipeline,static-ocs,0.9,0.001,16384,22579200000,22579200,1386,1386,0,1,true,1386,1386,0,1,true,0.00059586,3.6864,0.00100924,results/smtra/full/pipeline__static-ocs__load-0.9__seed-1.log,false,
pipeline,traffic-greedy,0.2,0.001,16384,5017600000,5017600,308,308,0,1,true,308,308,0,1,true,0.000589927,0.8192,0.00022757,results/smtra/full/pipeline__traffic-greedy__load-0.2__seed-1.log,false,
pipeline,traffic-greedy,0.4,0.001,16384,10035200000,10035200,616,616,0,1,true,616,616,0,1,true,0.000593744,1.6384,0.000455429,results/smtra/full/pipeline__traffic-greedy__load-0.4__seed-1.log,false,
pipeline,traffic-greedy,0.6,0.001,16384,15052800000,15052800,924,924,0,1,true,924,924,0,1,true,0.000595011,2.4576,0.000683324,results/smtra/full/pipeline__traffic-greedy__load-0.6__seed-1.log,false,
pipeline,traffic-greedy,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595647,3.2768,0.000911183,results/smtra/full/pipeline__traffic-greedy__load-0.8__seed-1.log,false,
pipeline,traffic-greedy,0.9,0.001,16384,22579200000,22579200,1386,1386,0,1,true,1386,1386,0,1,true,0.00059586,3.6864,0.00102511,results/smtra/full/pipeline__traffic-greedy__load-0.9__seed-1.log,false,
pipeline,v8,0.2,0.001,16384,5017600000,5017600,308,308,0,1,true,308,308,0,1,true,0.000615494,0.8192,0.000263904,results/smtra/full/pipeline__v8__load-0.2__seed-1.log,false,
pipeline,v8,0.4,0.001,16384,10035200000,10035200,616,616,0,1,true,616,616,0,1,true,0.000619458,1.6384,0.000527859,results/smtra/full/pipeline__v8__load-0.4__seed-1.log,false,
pipeline,v8,0.6,0.001,16384,15052800000,15052800,924,924,0,1,true,924,924,0,1,true,0.000620774,2.4576,0.000791876,results/smtra/full/pipeline__v8__load-0.6__seed-1.log,false,
pipeline,v8,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000621435,3.27588,0.00105582,results/smtra/full/pipeline__v8__load-0.8__seed-1.log,false,
pipeline,v8,0.9,0.001,16384,22579200000,22579200,1386,1386,0,1,true,1386,1386,0,1,true,0.000621656,3.68581,0.00118765,results/smtra/full/pipeline__v8__load-0.9__seed-1.log,false,
tensor-community,e-only,0.2,0.001,16384,5017600000,5017600,312,312,0,1,true,312,312,0,1,true,0.000828969,0.8192,0.000315865,results/smtra/full/tensor-community__e-only__load-0.2__seed-1.log,false,
tensor-community,e-only,0.4,0.001,16384,10035200000,10035200,616,616,0,1,true,616,616,0,1,true,0.000840255,1.63462,0.000633056,results/smtra/full/tensor-community__e-only__load-0.4__seed-1.log,false,
tensor-community,e-only,0.6,0.001,16384,15052800000,15052800,920,920,0,1,true,920,920,0,1,true,0.000841905,2.44691,0.000946608,results/smtra/full/tensor-community__e-only__load-0.6__seed-1.log,false,
tensor-community,e-only,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000840021,3.26333,0.00126409,results/smtra/full/tensor-community__e-only__load-0.8__seed-1.log,false,
tensor-community,e-only,0.9,0.001,16384,22579200000,22579200,1384,1384,0,1,true,1384,1384,0,1,true,0.000840722,3.66994,0.00141956,results/smtra/full/tensor-community__e-only__load-0.9__seed-1.log,false,
tensor-community,static-ocs,0.2,0.001,16384,5017600000,5017600,312,312,0,1,true,312,312,0,1,true,0.000588853,0.8192,0.000224139,results/smtra/full/tensor-community__static-ocs__load-0.2__seed-1.log,false,
tensor-community,static-ocs,0.4,0.001,16384,10035200000,10035200,616,616,0,1,true,616,616,0,1,true,0.00059539,1.6384,0.000448281,results/smtra/full/tensor-community__static-ocs__load-0.4__seed-1.log,false,
