matrixMode,observeTrafficModel,testTrafficModel,testPerturbationMode,testPerturbationRatio,phaseShift,phaseShiftWrap,communityRotationPattern,observeMixA,observeMixB,observeMixAWeight,testMixAWeight,neighborWeight,crossStageWeight,backgroundWeight,decoyBeta,structuralBonus,decoyHighActivity,decoyLowActivity,strategy,structShortestMode,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,observeBytes,testBytes,matrixAbsDiffBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,topRawPairs,topSPairs,topPsiPairs,rawPsiTopKOverlap,rawSTopKOverlap,activeOcsEdges,trafficFairEdges,trafficFairSelectionOrder,v8Edges,edgeOverlapWithTopRaw,edgeOverlapWithTopPsi,opticalConnectionCount,podPortUseMean,podPortUseMax,podPortUseMin,topKCoveredPairCount,topCoverage,smdTop,directStructuralWeightRatio,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,opticalDirectFlows,nonOpticalFlows,opticalDirectRatio,nonOpticalTrafficRatio,structuralMismatchMean,structuralMismatchP95,structuralMismatchMax,strongFlowMismatchMean,backgroundFlowMismatchMean,pathSignatureCountMax,pathSignatureCountP95,pathSignatureCountMean,uniquePathSignatureCount,ocsEdgeFlowCountMean,ocsEdgeFlowCountMax,ocsEdgeFlowCountP95,ocsEdgeFlowCountStd,ocsEdgeStrongFlowCountMean,ocsEdgeStrongFlowCountMax,ocsEdgeBackgroundFlowCountMean,ocsEdgeBackgroundFlowCountMax,changedPathFlowCount,changedPathFlowRatio,changedStrongPathFlowCount,changedBackgroundPathFlowCount,edgeFlowImbalanceDeltaVsShortest,pathConcentrationDeltaVsShortest,equalShortestPathCountMean,equalShortestPathCountMax,equalShortestPathPairCount,flowsWithMultipleShortestPaths,flowsWithMultipleShortestPathsRatio,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,p90FctSeconds,p95FctSeconds,throughputGbps,avgLinkUtilization,ocsLinkUtilization,electricalLinkUtilization,logFile,invalid,invalidReason
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.2,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,27,17561600,17561600,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577628,0.548826,0.577628,256,256,384,256,0,0.285714,0,1.06263,2.44155,3.12766,0.463505,1.66175,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.00503191,0.011605,0.0198557,2.51344,0.11884,0.373217,0.110891,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.2__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.3,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,35,26342400,26342400,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548828,0.577626,256,256,384,256,0,0.285714,0,1.06262,2.44154,3.12766,0.463502,1.66174,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.0139518,0.0462828,0.0548906,3.07799,0.142062,0.441402,0.132708,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.3__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.4,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,46,35123200,35123200,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577627,0.548827,0.577627,256,256,384,256,0,0.285714,0,1.06262,2.44154,3.12766,0.463503,1.66175,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.0241292,0.0754354,0.0871901,3.56343,0.159892,0.4903,0.149566,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.4__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.5,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,53,43904000,43904000,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548828,0.577626,256,256,384,256,0,0.285714,0,1.06262,2.44154,3.12766,0.463501,1.66174,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.0345983,0.105062,0.118667,3.9882,0.174818,0.529307,0.16374,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.5__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.6,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,62,52684800,52684800,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548829,0.577626,256,256,384,256,0,0.285714,0,1.06262,2.44153,3.12766,0.463501,1.66174,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.0452688,0.13237,0.149536,4.38139,0.188275,0.563489,0.17655,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.6__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.7,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,73,61465600,61465600,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548829,0.577626,256,256,384,256,0,0.285714,0,1.06262,2.44154,3.12766,0.463501,1.66174,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.0559212,0.159277,0.180634,4.75097,0.200666,0.595253,0.188335,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.7__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.8,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,83,70246400,70246400,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548829,0.577626,256,256,384,256,0,0.285714,0,1.06262,2.44153,3.12766,0.463501,1.66174,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.0664604,0.189963,0.210772,5.12218,0.212414,0.624152,0.199547,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.8__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.9,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,93,79027200,79027200,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548829,0.577626,256,256,384,256,0,0.285714,0,1.06262,2.44153,3.12766,0.4635,1.66174,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.0768945,0.219071,0.242001,5.45849,0.223416,0.651814,0.210029,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.9__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,strong-topk-background-shortest,0.1,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,17,8780800,8780800,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,8,2,2,2,3,0.42969,0.84469,0.42969,256,256,384,256,0,0.285714,0,0.740819,2.24114,2.39359,0.310803,1.17084,16,16,16,56,256,288,276.8,16,104,160,152,256,0,0,0,0,0,0,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.00135844,0.00234161,0.00262862,1.39699,0.0646515,0.200206,0.0604154,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__traffic-fair__load-0.1__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,strong-topk-background-shortest,0.2,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,26,17561600,17561600,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,8,2,2,2,3,0.429694,0.844682,0.429694,256,256,384,256,0,0.285714,0,0.74082,2.24114,2.39361,0.310799,1.17084,16,16,16,56,256,288,276.8,16,104,160,152,256,0,0,0,0,0,0,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.00537879,0.0144488,0.0201763,2.48082,0.114599,0.355511,0.107071,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__traffic-fair__load-0.2__seed-1.log,false,
