strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,decoyBeta,structuralBonus,decoyHighActivity,decoyLowActivity,runtimeSeconds,generatedFlows,installableFlows,unservedFlows,installRatio,installedFlows,completedFlows,incompleteFlows,incompleteFlowDetails,completionRatio,fullyCompleted,avgFctSeconds,p90FctSeconds,p95FctSeconds,throughputGbps,avgLinkUtilization,activeOcsEdges,avgPathHopCount,backgroundFlowMismatchMean,backgroundWeight,changedBackgroundPathFlowCount,changedPathFlowCount,changedPathFlowRatio,changedStrongPathFlowCount,communityRotationPattern,crossStageWeight,directStructuralWeightRatio,edgeFlowImbalanceDeltaVsShortest,edgeOverlapWithTopPsi,edgeOverlapWithTopRaw,electricalLinkUtilization,equalShortestPathCountMax,equalShortestPathCountMean,equalShortestPathPairCount,flowsWithMultipleShortestPaths,flowsWithMultipleShortestPathsRatio,matrixAbsDiffBytes,matrixMode,maxPathHopCount,multiHopPathFlows,neighborWeight,nonOpticalFlows,nonOpticalTrafficRatio,observeBytes,observeMixA,observeMixAWeight,observeMixB,observeTrafficModel,ocsCoverageOk,ocsEdgeBackgroundFlowCountMax,ocsEdgeBackgroundFlowCountMean,ocsEdgeFlowCountMax,ocsEdgeFlowCountMean,ocsEdgeFlowCountP95,ocsEdgeFlowCountStd,ocsEdgeStrongFlowCountMax,ocsEdgeStrongFlowCountMean,ocsLinkUtilization,oneHopPathFlows,opticalConnectionCount,opticalDirectFlows,opticalDirectRatio,p90ElectricalLinkUtilization,p90LinkUtilization,p90OcsLinkUtilization,p95ElectricalLinkUtilization,p95LinkUtilization,p95OcsLinkUtilization,pathConcentrationDeltaVsShortest,pathSignatureCountMax,pathSignatureCountMean,pathSignatureCountP95,pathTypeCounts,phaseShift,phaseShiftWrap,podPortUseMax,podPortUseMean,podPortUseMin,rawPsiTopKOverlap,rawSTopKOverlap,smdTop,strongFlowMismatchMean,structShortestMode,structuralMismatchMax,structuralMismatchMean,structuralMismatchP95,testBytes,testMixAWeight,testPerturbationMode,testPerturbationRatio,testTrafficModel,topCoverage,topKCoveredPairCount,topPsiPairs,topRawPairs,topSPairs,trafficFairEdges,trafficFairSelectionOrder,twoHopPathFlows,uniquePathSignatureCount,v8Edges,logFile,invalid,invalidReason
strong-topk-background-shortest,0.4,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,56,896,896,0,1,896,896,0,,1,true,0.0301551,0.0925835,0.105031,3.8092,0.168782,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66175,0.05,0,22,0.0245536,22,cross,0.25,0.577626,-0.03125,6,3,0.157987,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,40140800,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.514221,256,8,256,0.285714,0.375668,0.404997,0.60037,0.785538,0.781875,0.626078,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.548828,0.463502,strong-topk-background-shortest,3.12766,1.06262,2.44154,40140800,0.3,none,0.2,ai-structural-decoy,0.577626,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.4__seed-1.log,false,
traffic-fair,0.4,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,40,896,896,0,1,896,896,0,,1,true,0.0319755,0.0893078,0.104633,3.72386,0.169001,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17084,0.05,0,0,0,0,cross,0.25,0.429695,0,3,3,0.15814,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,40140800,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.516556,256,8,256,0.285714,0.391711,0.411527,0.650754,0.757268,0.718723,0.660896,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844679,0.310797,strong-topk-background-shortest,2.39361,0.740821,2.24114,40140800,0.3,none,0.2,ai-structural-decoy,0.429695,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.4__seed-1.log,false,
e-only,0.5,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,41,896,896,0,1,896,896,0,,1,true,0.0646951,0.161383,0.167054,3.06049,0.119072,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.119072,0,0,0,0,0,0,observe-test,1,0,1,896,1,50176000,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.347466,0.347466,0,0.42414,0.42414,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,50176000,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.5__seed-1.log,false,
strong-topk-background-shortest,0.5,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,70,896,896,0,1,896,896,0,,1,true,0.0422575,0.124091,0.14021,4.2673,0.184733,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66174,0.05,0,22,0.0245536,22,cross,0.25,0.577626,-0.03125,6,3,0.173164,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,50176000,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.554947,256,8,256,0.285714,0.417779,0.462203,0.654503,0.81668,0.810779,0.6795,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.548828,0.463502,strong-topk-background-shortest,3.12766,1.06262,2.44154,50176000,0.3,none,0.2,ai-structural-decoy,0.577626,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.5__seed-1.log,false,
traffic-fair,0.5,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,48,896,896,0,1,896,896,0,,1,true,0.0457619,0.120955,0.139121,4.06784,0.182564,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17084,0.05,0,0,0,0,cross,0.25,0.429695,0,3,3,0.170918,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,50176000,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.555217,256,8,256,0.285714,0.442452,0.471377,0.702183,0.809517,0.779884,0.708946,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844679,0.310797,strong-topk-background-shortest,2.39361,0.74082,2.24114,50176000,0.3,none,0.2,ai-structural-decoy,0.429695,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.5__seed-1.log,false,
e-only,0.6,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,51,896,896,0,1,896,896,0,,1,true,0.0835584,0.200667,0.206478,3.21899,0.123573,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.123573,0,0,0,0,0,0,observe-test,1,0,1,896,1,60211200,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.360015,0.360015,0,0.459176,0.459176,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,60211200,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.6__seed-1.log,false,
strong-topk-background-shortest,0.6,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,84,896,896,0,1,896,896,0,,1,true,0.0547236,0.156091,0.176274,4.69274,0.198838,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66174,0.05,0,22,0.0245536,22,cross,0.25,0.577625,-0.03125,6,3,0.186579,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,60211200,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.591103,256,8,256,0.285714,0.454419,0.502955,0.694872,0.842298,0.834074,0.717493,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.54883,0.463499,strong-topk-background-shortest,3.12766,1.06262,2.44153,60211200,0.3,none,0.2,ai-structural-decoy,0.577625,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.6__seed-1.log,false,
traffic-fair,0.6,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,74,896,896,0,1,896,896,0,,1,true,0.0597154,0.151052,0.173906,4.40452,0.194975,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17085,0.05,0,0,0,0,cross,0.25,0.429696,0,3,4,0.182658,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,60211200,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.58914,256,8,256,0.285714,0.503983,0.535131,0.748397,0.839171,0.822305,0.763353,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844677,0.310796,strong-topk-background-shortest,2.39362,0.740821,2.24113,60211200,0.3,none,0.2,ai-structural-decoy,0.429696,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.6__seed-1.log,false,
e-only,0.7,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,57,896,896,0,1,896,896,0,,1,true,0.0996127,0.239353,0.2456,3.36255,0.127271,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.127271,0,0,0,0,0,0,observe-test,1,0,1,896,1,70246400,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.369487,0.369487,0,0.493115,0.493115,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,70246400,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.7__seed-1.log,false,
strong-topk-background-shortest,0.7,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,96,896,896,0,1,896,896,0,,1,true,0.0664604,0.189963,0.210772,5.12218,0.212414,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66174,0.05,0,22,0.0245536,22,cross,0.25,0.577626,-0.03125,6,3,0.199547,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,70246400,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.624152,256,8,256,0.285714,0.492766,0.549669,0.731112,0.877061,0.855383,0.753674,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.548829,0.463501,strong-topk-background-shortest,3.12766,1.06262,2.44153,70246400,0.3,none,0.2,ai-structural-decoy,0.577626,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.7__seed-1.log,false,
traffic-fair,0.7,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,86,896,896,0,1,896,896,0,,1,true,0.0734502,0.182708,0.208596,4.7239,0.205737,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17085,0.05,0,0,0,0,cross,0.25,0.429696,0,3,3,0.192878,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,70246400,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.617236,256,8,256,0.285714,0.551574,0.5866,0.784328,0.861308,0.853427,0.8068,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844678,0.310796,strong-topk-background-shortest,2.39361,0.740821,2.24114,70246400,0.3,none,0.2,ai-structural-decoy,0.429696,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.7__seed-1.log,false,
e-only,0.8,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,66,896,896,0,1,896,896,0,,1,true,0.118114,0.277171,0.284661,3.49328,0.130644,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.130644,0,0,0,0,0,0,observe-test,1,0,1,896,1,80281600,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.380707,0.380707,0,0.503058,0.503058,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,80281600,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.8__seed-1.log,false,
strong-topk-background-shortest,0.8,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,108,896,896,0,1,896,896,0,,1,true,0.0787416,0.22261,0.246597,5.49661,0.22472,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66174,0.05,0,22,0.0245536,22,cross,0.25,0.577626,-0.03125,6,3,0.211269,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,80281600,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.655132,256,8,256,0.285714,0.524353,0.588515,0.766195,0.899182,0.870298,0.784561,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.548829,0.463501,strong-topk-background-shortest,3.12766,1.06262,2.44153,80281600,0.3,none,0.2,ai-structural-decoy,0.577626,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.8__seed-1.log,false,
traffic-fair,0.8,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,101,896,896,0,1,896,896,0,,1,true,0.0873003,0.21312,0.241948,5.02925,0.215843,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17084,0.05,0,0,0,0,cross,0.25,0.429695,0,3,3,0.202489,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,80281600,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.643151,256,8,256,0.285714,0.589615,0.630318,0.817008,0.884556,0.876778,0.843562,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844679,0.310796,strong-topk-background-shortest,2.39361,0.740821,2.24114,80281600,0.3,none,0.2,ai-structural-decoy,0.429695,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.8__seed-1.log,false,
e-only,0.9,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,77,896,896,0,1,896,896,0,,1,true,0.133981,0.314023,0.322754,3.61064,0.133594,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.133594,0,0,0,0,0,0,observe-test,1,0,1,896,1,90316800,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.39288,0.39288,0,0.516603,0.516603,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,90316800,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.9__seed-1.log,false,
strong-topk-background-shortest,0.9,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,121,896,896,0,1,896,896,0,,1,true,0.0906612,0.253842,0.281116,5.86466,0.236288,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66174,0.05,0,22,0.0245536,22,cross,0.25,0.577625,-0.03125,6,3,0.222295,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,90316800,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.684052,256,8,256,0.285714,0.556101,0.625153,0.800808,0.911638,0.888064,0.814342,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.54883,0.463499,strong-topk-background-shortest,3.12766,1.06262,2.44153,90316800,0.3,none,0.2,ai-structural-decoy,0.577625,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.9__seed-1.log,false,
traffic-fair,0.9,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,115,896,896,0,1,896,896,0,,1,true,0.102004,0.24438,0.275865,5.28363,0.224275,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17085,0.05,0,0,0,0,cross,0.25,0.429696,0,3,4,0.210522,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,90316800,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.664362,256,8,256,0.285714,0.634932,0.669669,0.835034,0.90022,0.898628,0.872476,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844677,0.310796,strong-topk-background-shortest,2.39362,0.740821,2.24113,90316800,0.3,none,0.2,ai-structural-decoy,0.429696,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.9__seed-1.log,false,
