scenario,scheme,seed,offered_load_factor,drain_label,selected_edge_union,union_edge_count,avg_round_edge_count,flow_count,completed_flow_count,incomplete_flow_count,completion_ratio,avg_fct_s,p90_fct_s,p95_fct_s,p99_fct_s,avg_received_throughput_bps,ocs_flow_hit_rate,ocs_byte_hit_rate,eps_avg_link_utilization,eps_max_link_utilization,ocs_avg_link_utilization,ocs_max_link_utilization
cross-community-distractor-replay,eps-ecmp,1401,0.5,D3,,0,0,380,380,0,1,0.0263187552474,0.056499984,0.067923024,0.074927158,83860608000,0,0,0.301965926,0.47337768,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,0-1;1-2;2-3;4-5;6-7,5,3.77777777778,380,380,0,1,0.0142381419632,0.031834396,0.037902881,0.06027766,83860608000,0.357894736842,0.503464034031,0.156606897,0.400917016,0.0259242467726,0.14492176
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,0-1;2-3;4-5;6-7,4,4,380,380,0,1,0.0158341552237,0.03590084,0.041836742,0.074825185,83860608000,0.378947368421,0.527503926516,0.149671409,0.473377248,0.0156200750769,0.0403010953846
