scenario,seed,offered_load_factor,drain_label,row_type,scheme,candidate_id,selected_edges,fct_oracle_edges,avg_fct_oracle_candidate_id,p95_fct_oracle_candidate_id,candidate_count,evaluated_candidate_count,skipped_candidate_count,union_jaccard_to_fct_oracle,round_avg_jaccard_to_fct_oracle,edges_minus_fct_oracle,fct_oracle_edges_minus_scheme,avg_fct_s,p95_fct_s,completion_ratio,avg_received_throughput_bps,ocs_byte_hit_rate,eps_avg_link_utilization,eps_max_link_utilization,ocs_avg_link_utilization,ocs_max_link_utilization
cross-community-distractor-replay,1401,0.5,D3,baseline,eps-ecmp,,,0-1;2-3;4-5;6-7,cand0659,cand0659,764,7,757,0,,,0-1;2-3;4-5;6-7,0.0263187552474,0.067923024,1,83860608000,0,0.301965926,0.47337768,0,0
cross-community-distractor-replay,1401,0.5,D3,baseline,ocs-volume,,0-1;1-2;2-3;4-5;6-7,0-1;2-3;4-5;6-7,cand0659,cand0659,764,7,757,0.8,0.866666666667,1-2,,0.0142381419632,0.037902881,1,83860608000,0.503464034031,0.156606897,0.400917016,0.0259242467726,0.14492176
cross-community-distractor-replay,1401,0.5,D3,baseline,tl-ocs,,0-1;2-3;4-5;6-7,0-1;2-3;4-5;6-7,cand0659,cand0659,764,7,757,1,1,,,0.0158341552237,0.041836742,1,83860608000,0.527503926516,0.149671409,0.473377248,0.0156200750769,0.0403010953846
cross-community-distractor-replay,1401,0.5,D3,fct-oracle-avg,fct-oracle,cand0659,0-1;2-3;4-5;6-7,0-1;2-3;4-5;6-7,cand0659,cand0659,764,7,757,1,1,,,0.0158341552237,0.041836742,1,83860608000,0.527503926516,0.149671409,0.473377248,0.0156200750769,0.0403010953846
