scenario,seed,offered_load_factor,drain_label,candidate_id,selected_edges,edge_count,candidate_count,selected_for_evaluation,selection_reason
cross-community-distractor-replay,1401,0.5,D3,cand0066,0-3;2-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0067,0-3;2-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0068,0-3;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0069,0-3;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0070,0-3;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0071,0-3;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0072,0-3;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0073,0-3;6-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0074,0-4;1-2,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0075,0-4;1-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0076,0-4;1-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0077,0-4;1-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0078,0-4;1-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0079,0-4;2-3,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0080,0-4;2-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0081,0-4;2-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0082,0-4;2-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0083,0-4;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0084,0-4;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0085,0-4;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0086,0-4;5-6,2,764,false,high-impact-edge-pool
cross-community-distractor-replay,1401,0.5,D3,cand0087,0-4;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0088,0-4;6-7,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0089,0-5;1-2,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0090,0-5;1-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0091,0-5;1-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0092,0-5;1-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0093,0-5;1-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0094,0-5;2-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0095,0-5;2-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0096,0-5;2-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0097,0-5;2-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0098,0-5;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0099,0-5;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0100,0-5;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0101,0-5;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0102,0-5;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0103,0-5;6-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0104,0-6;1-2,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0105,0-6;1-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0106,0-6;1-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0107,0-6;1-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0108,0-6;1-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0109,0-6;2-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0110,0-6;2-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0111,0-6;2-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0112,0-6;2-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0113,0-6;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0114,0-6;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0115,0-6;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0116,0-6;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0117,0-6;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0118,0-6;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0119,0-7;1-2,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0120,0-7;1-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0121,0-7;1-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0122,0-7;1-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0123,0-7;1-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0124,0-7;2-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0125,0-7;2-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0126,0-7;2-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0127,0-7;2-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0128,0-7;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0129,0-7;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0130,0-7;3-6,2,764,false,not-selected
