matrixMode,observeTrafficModel,testTrafficModel,testPerturbationMode,testPerturbationRatio,phaseShift,phaseShiftWrap,communityRotationPattern,observeMixA,observeMixB,observeMixAWeight,testMixAWeight,strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,observeBytes,testBytes,matrixAbsDiffBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
observe-test,pipeline,pipeline,phase-shift,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,traffic-greedy,0.2,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,1,1,1000000000,15,25088000,25088000,7168000,224,96,128,0.428571,false,ocs-shortest-direct:96|unserved:128,96,0,0,1,1,96,96,0,1,true,0.00531654,1.68861,0.050816,results/smtra/phase-shift-tight/pipeline__phase-shift__traffic-greedy__load-0.2__seed-1.log,true,ocsCoverageOk!=true;unservedFlows!=0
observe-test,pipeline,pipeline,phase-shift,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,traffic-greedy,0.5,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,1,1,1000000000,20,62720000,62720000,17920000,224,96,128,0.428571,false,ocs-shortest-direct:96|unserved:128,96,0,0,1,1,96,96,0,1,true,0.0157116,3.74777,0.113079,results/smtra/phase-shift-tight/pipeline__phase-shift__traffic-greedy__load-0.5__seed-1.log,true,ocsCoverageOk!=true;unservedFlows!=0
observe-test,pipeline,pipeline,phase-shift,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,traffic-greedy,0.8,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,1,1,1000000000,29,100352000,100352000,28672000,224,96,128,0.428571,false,ocs-shortest-direct:96|unserved:128,96,0,0,1,1,96,96,0,1,true,0.0331972,4.33748,0.131967,results/smtra/phase-shift-tight/pipeline__phase-shift__traffic-greedy__load-0.8__seed-1.log,true,ocsCoverageOk!=true;unservedFlows!=0
observe-test,pipeline,pipeline,phase-shift,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,v8,0.2,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,1,1,1000000000,11,25088000,25088000,7168000,224,96,128,0.428571,false,smtra-direct:96|unserved:128,96,0,0,1,1,96,96,0,1,true,0.00531654,1.68861,0.050816,results/smtra/phase-shift-tight/pipeline__phase-shift__v8__load-0.2__seed-1.log,true,ocsCoverageOk!=true;unservedFlows!=0
observe-test,pipeline,pipeline,phase-shift,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,v8,0.5,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,1,1,1000000000,21,62720000,62720000,17920000,224,96,128,0.428571,false,smtra-direct:96|unserved:128,96,0,0,1,1,96,96,0,1,true,0.0157116,3.74777,0.113079,results/smtra/phase-shift-tight/pipeline__phase-shift__v8__load-0.5__seed-1.log,true,ocsCoverageOk!=true;unservedFlows!=0
observe-test,pipeline,pipeline,phase-shift,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,v8,0.8,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,1,1,1000000000,30,100352000,100352000,28672000,224,96,128,0.428571,false,smtra-direct:96|unserved:128,96,0,0,1,1,96,96,0,1,true,0.0331972,4.33748,0.131967,results/smtra/phase-shift-tight/pipeline__phase-shift__v8__load-0.8__seed-1.log,true,ocsCoverageOk!=true;unservedFlows!=0
