trafficModel,strategy,offeredLoad,workloadScale,messageSizeBytes,runtimeSeconds,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
pipeline,v8,0.8,0.005,16384,68.568313,20070400000,100352000,6132,6132,0,1,true,smtra-direct:5256|smtra-two-hop:876,5256,876,0,1.14286,2,6132,6132,0,1,true,0.000623042,16.2833,0.00525072,results/smtra/scale-probe/probe__pipeline__v8__load-0.8__scale-0.005.log,false,
pipeline,v8,0.8,0.01,16384,139.361472,20070400000,200704000,12250,12250,0,1,true,smtra-direct:10500|smtra-two-hop:1750,10500,1750,0,1.14286,2,12250,12250,0,1,true,0.000623453,32.5115,0.0104833,results/smtra/scale-probe/probe__pipeline__v8__load-0.8__scale-0.01.log,false,
pipeline,v8,0.8,0.02,16384,314.342456,20070400000,401408000,24500,24500,0,1,true,smtra-direct:21000|smtra-two-hop:3500,21000,3500,0,1.14286,2,24500,24500,0,1,true,0.000623601,64.9905,0.0209621,results/smtra/scale-probe/probe__pipeline__v8__load-0.8__scale-0.02.log,false,
